Status: 500 [30/May/2024:11:09:36 +0000] Bytes: 361 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:09:45 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:09:50 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:09:54 +0000] Bytes: 361 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:11:04 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:18:49 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:18:49 +0000] Bytes: 321 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:18:53 +0000] Bytes: 361 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:19:15 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:19:32 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:20:38 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:11:20:44 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:23:01 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:23:02 +0000] Bytes: 321 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:23:05 +0000] Bytes: 361 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:24:15 +0000] Bytes: 609 IP: 192.168.121.51 Nome: profesor Recurso: /rio/index.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:24:22 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:24:58 +0000] Bytes: 605 IP: 192.168.121.51 Nome: xoel Recurso: /rio/index.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:24:59 +0000] Bytes: 325 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:25:05 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:25:21 +0000] Bytes: 606 IP: 192.168.121.51 Nome: pablo Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:25:28 +0000] Bytes: 606 IP: 192.168.121.51 Nome: pablo Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:25:36 +0000] Bytes: 606 IP: 192.168.121.51 Nome: xonxa Recurso: /rio/index.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:25:36 +0000] Bytes: 325 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:25:46 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 401 [30/May/2024:11:25:50 +0000] Bytes: 607 IP: 192.168.121.51 Nome: maria Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:25:51 +0000] Bytes: 325 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:35:32 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:38:17 +0000] Bytes: 1061 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:11:38:17 +0000] Bytes: 433 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:11:39:13 +0000] Bytes: 711 IP: 192.168.121.52 Nome: - Recurso: /b.html curl/7.88.1
Status: 200 [30/May/2024:11:39:30 +0000] Bytes: 707 IP: 192.168.121.52 Nome: - Recurso: /b.html curl/7.88.1
